Отметка времени,Ваш уровень образования в области IT? ,  Какой у вас уровень знаний в IT?  ,"  Как часто вы сталкиваетесь с задачами, связанными с программированием или анализом данных?  ",  Для каких целей вы используете ИИ?  ,Как вы оцениваете простоту использования ИИ-инструментов?  ,Насколько ИИ помогает вам улучшить успеваемость?  ,Сталкивались ли вы с ошибками ИИ при решении задач?  ,Как ИИ влияет на вашу производительность?  ,Какую часть своей работы вы доверяете ИИ?  , Вы используете ИИ для подготовки к экзаменам?  ,Считаете ли вы использование ИИ честным в учебном процессе?  ,На сколько ИИ улучшает вашу способность понимать сложные темы?  ,Как вы относитесь к использованию ИИ в учебе?  ,Хотели бы вы больше интеграции ИИ в учебный процесс?  ,Считаете ли вы ИИ незаменимым для студентов IT?  ,Какова ваша общая оценка ИИ в IT-образовании?  
27.11.2024 0:54:58,А) Бакалавриат,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,А) Часто,А) Сильно повышает,А) Более 75%,"А) Да, всегда",Б) Скорее да,Б) Умеренно улучшает,А) Положительно,Б) Скорее да,А) Да,А) 5 — отлично
27.11.2024 0:58:51,Г) Другое,А) Начальный,Б) Несколько раз в неделю,А) Решение задач программирования,Б) Легко,Б) Помогает частично,А) Часто,В) Не влияет,Г) Менее 25%,В) Редко,Б) Скорее да,В) Не влияет,Б) Нейтрально,Б) Скорее да,Б) Скорее да,В) 3 — удовлетворительно
27.11.2024 1:00:45,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,Б) Помогает частично,А) Часто,А) Сильно повышает,Г) Менее 25%,"А) Да, всегда","А) Да, полностью",Б) Умеренно улучшает,А) Положительно,А) Да,А) Да,А) 5 — отлично
27.11.2024 1:03:09,В) Курсы/самообразование,А) Начальный,А) Ежедневно,"В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,Б) Помогает частично,А) Часто,Г) Уменьшает,Г) Менее 25%,Б) Иногда,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,А) Да,Б) 4 — хорошо
27.11.2024 1:05:07,А) Бакалавриат,А) Начальный,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,А) Часто,Б) Повышает немного,Г) Менее 25%,"А) Да, всегда",Б) Скорее да,А) Сильно улучшает,Б) Нейтрально,А) Да,А) Да,Б) 4 — хорошо
27.11.2024 1:06:29,В) Курсы/самообразование,Б) Средний,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,"А) Да, всегда","А) Да, полностью",Б) Умеренно улучшает,А) Положительно,А) Да,А) Да,А) 5 — отлично
27.11.2024 1:11:55,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,А) Решение задач программирования,Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,Б) Иногда,В) Скорее нет,А) Сильно улучшает,Б) Нейтрально,Б) Скорее да,В) Скорее нет,Б) 4 — хорошо
27.11.2024 1:26:53,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,В) Редко,В) Скорее нет,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,Г) Нет,Б) 4 — хорошо
27.11.2024 1:31:41,В) Курсы/самообразование,Б) Средний,А) Ежедневно,Г) Написание текстов/эссе,Б) Легко,Б) Помогает частично,А) Часто,Б) Повышает немного,В) 25-50%,Б) Иногда,Г) Нет,Б) Умеренно улучшает,Б) Нейтрально,Г) Нет,Г) Нет,Б) 4 — хорошо
27.11.2024 2:13:51,В) Курсы/самообразование,В) Продвинутый,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,В) Не влияет,А) Часто,В) Не влияет,Г) Менее 25%,В) Редко,"А) Да, полностью",В) Не влияет,А) Положительно,Б) Скорее да,Б) Скорее да,В) 3 — удовлетворительно
